ano,regiao,uf,nome_municipio,localizacao,depend_administrativa,percent_fundamental_nivel1,percent_fundamental_nivel2,percent_fundamental_nivel3,percent_fundamental_nivel4,percent_fundamental_nivel5,percent_fundamental_nivel6,percent_medio_nivel1,percent_medio_nivel2,percent_medio_nivel3,percent_medio_nivel4,percent_medio_nivel5,percent_medio_nivel6
2021,Norte,RO,Nova Mamoré,Rural,Publica,27.8,27.8,22.7,15.5,4.1,2.1,,,,,,
2021,Norte,RO,Alvorada D'Oeste,Urbana,Estadual,32.0,8.0,24.0,26.0,10.0,0.0,0.0,0.0,15.0,55.0,30.0,0.0
2021,Norte,RO,Alvorada D'Oeste,Urbana,Municipal,58.2,9.3,27.9,2.3,2.3,0.0,,,,,,
2021,Norte,RO,Alvorada D'Oeste,Rural,Municipal,44.0,44.0,8.0,4.0,0.0,0.0,,,,,,
2021,Norte,RO,Alvorada D'Oeste,Urbana,Publica,44.0,8.6,25.8,15.1,6.5,0.0,0.0,0.0,15.0,55.0,30.0,0.0
2021,Norte,RO,Alvorada D'Oeste,Rural,Publica,44.0,44.0,8.0,4.0,0.0,0.0,,,,,,
2021,Norte,RO,Alto Alegre dos Parecis,Urbana,Estadual,0.0,0.0,7.7,15.4,53.8,23.1,0.0,2.0,3.9,60.8,23.5,9.8
2021,Norte,RO,Alto Alegre dos Parecis,Rural,Estadual,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021,Norte,RO,Alto Alegre dos Parecis,Urbana,Municipal,34.2,20.0,14.3,28.6,0.0,2.9,,,,,,
2021,Norte,RO,Alto Alegre dos Parecis,Rural,Municipal,26.6,6.1,24.5,38.8,2.0,2.0,,,,,,
2021,Norte,RO,Alto Alegre dos Parecis,Urbana,Publica,26.2,15.2,13.0,23.9,15.2,6.5,0.0,2.0,3.9,60.8,23.5,9.8
2021,Norte,RO,Alto Alegre dos Parecis,Rural,Publica,28.0,6.0,24.0,38.0,2.0,2.0,,,,,,
2021,Norte,RO,Alto Paraíso,Urbana,Estadual,0.0,3.2,38.7,22.6,32.3,3.2,0.0,0.0,0.0,47.6,47.6,4.8
2021,Norte,RO,Alto Paraíso,Urbana,Municipal,23.1,53.8,15.4,7.7,0.0,0.0,,,,,,
2021,Norte,RO,Alto Paraíso,Rural,Municipal,24.0,30.0,24.0,12.0,8.0,2.0,,,,,,
2021,Norte,RO,Alto Paraíso,Urbana,Privada,33.3,50.0,16.7,0.0,0.0,0.0,,,,,,
2021,Norte,RO,Alto Paraíso,Urbana,Publica,6.8,18.2,31.8,18.2,22.7,2.3,0.0,0.0,0.0,47.6,47.6,4.8
